name,Dairy,Fruits,Vegetables,Protein,Grain,Total Calories
Afghanistan,100,51,17,73,1561,2090
Albania,533,221,151,391,1145,3193
Algeria,227,215,124,130,1678,3296
Angola,20,128,38,219,717,2473
Antigua and Barbuda,224,168,60,473,653,2417
Argentina,256,85,53,659,1060,3229
Armenia,351,141,199,306,1075,2928
Australia,339,107,76,549,740,3276
Austria,269,186,75,473,886,3768
Azerbaijan,235,101,94,205,1794,3118
Bahamas,186,215,84,543,655,2670
Bangladesh,37,29,24,60,1869,2450
Barbados,185,103,60,430,867,2937
Belarus,176,87,106,498,837,3250
Belgium,379,83,120,361,905,3733
Belize,124,140,32,276,1045,2751
Benin,16,50,37,104,1077,2619
Bermuda,140,198,121,593,656,2671
Bolivia (Plurinational State of),74,99,29,318,980,2256
Bosnia and Herzegovina,283,142,129,197,1427,3154
Botswana,205,53,31,122,968,2326
Brazil,252,113,36,499,969,3263
Brunei Darussalam,135,73,72,464,1313,2985
Bulgaria,260,92,38,274,1102,2829
Burkina Faso,61,8,13,83,1740,2720
C¥Ë_¥Ë_te d'Ivoire,12,171,36,90,971,2799
Cabo Verde,200,81,86,213,1160,2609
Cambodia,6,34,23,185,1654,2477
Cameroon,28,214,65,88,1013,2671
Canada,193,135,79,438,909,3494
Central African Republic,23,72,11,155,451,1879
Chad,38,15,5,66,1315,2110
Chile,153,82,62,506,1150,2979
China,59,104,231,608,1416,3108
"China, Hong Kong SAR",190,86,106,932,904,3290
"China, Macao SAR",80,64,70,767,872,2915
"China, mainland",58,104,234,608,1427,3108
"China, Taiwan Province of",63,125,105,528,931,2997
Colombia,179,237,33,282,776,2804
Congo,20,108,42,155,538,2208
Costa Rica,295,146,41,231,876,2848
Croatia,317,135,63,361,918,3059
Cuba,146,173,91,325,1326,3409
Cyprus,228,79,74,393,757,2649
Czechia,279,73,52,350,861,3256
Democratic People's Republic of Korea,6,66,80,114,1302,2094
Denmark,329,121,76,503,850,3367
Djibouti,105,45,44,103,1419,2607
Dominica,221,308,66,309,736,2931
Dominican Republic,117,329,37,231,760,2614
Ecuador,228,148,19,289,811,2344
Egypt,94,170,122,180,2214,3522
El Salvador,195,74,45,155,1161,2577
Estonia,411,90,84,324,1046,3253
Ethiopia,72,10,17,38,1361,2131
Fiji,67,36,36,303,1086,2943
Finland,508,98,60,636,948,3368
France,341,104,71,577,960,3482
French Polynesia,153,71,45,576,902,2927
Gabon,54,323,32,334,997,2830
Gambia,85,9,14,73,1620,2628
Georgia,254,56,40,164,1563,2905
Germany,331,111,68,437,870,3499
Ghana,13,363,32,117,725,3016
Greece,379,150,135,368,947,3400
Grenada,163,179,29,373,649,2447
Guatemala,76,68,41,151,1163,2419
Guinea,36,139,88,71,1276,2566
Guinea-Bissau,37,91,13,115,1272,2292
Guyana,205,73,76,251,1241,2764
Haiti,45,96,16,98,820,2091
Honduras,144,107,29,173,1192,2641
Hungary,217,69,62,362,846,3037
Iceland,541,141,55,742,698,3380
India,129,70,61,34,1361,2459
Indonesia,19,74,36,148,1751,2777
Iran (Islamic Republic of),66,205,150,179,1555,3094
Iraq,34,74,72,124,1593,2545
Ireland,358,125,86,474,1074,3600
Israel,282,182,128,480,1141,3610
Italy,272,176,85,466,1146,3579
Jamaica,162,117,66,276,907,2746
Japan,113,50,74,395,1082,2726
Jordan,131,80,72,203,1376,3100
Kazakhstan,475,117,119,381,888,3264
Kenya,163,82,31,87,1076,2206
Kiribati,14,118,36,324,1015,3040
Kuwait,215,151,148,423,1312,3501
Kyrgyzstan,375,37,112,204,1291,2817
Lao People's Democratic Republic,7,120,124,188,1562,2451
Latvia,261,61,79,374,942,3174
Lebanon,168,141,123,216,1108,3066
Lesotho,40,26,11,111,1934,2529
Liberia,6,76,21,87,1053,2204
Lithuania,289,53,75,537,1166,3417
Luxembourg,369,149,87,688,923,3539
Madagascar,43,60,11,90,1255,2052
Malawi,13,109,14,104,1299,2367
Malaysia,56,57,56,442,1279,2916
Maldives,203,120,76,573,1078,2732
Mali,211,37,32,123,1862,2890
Malta,311,81,138,445,1091,3378
Mauritania,306,31,25,148,1492,2876
Mauritius,145,64,53,281,1393,3065
Mexico,163,105,40,392,1314,3072
Mongolia,244,23,39,465,1065,2510
Montenegro,514,160,141,540,976,3491
Morocco,73,120,95,202,1960,3403
Mozambique,8,34,12,87,873,2283
Myanmar,50,61,67,345,1335,2571
Namibia,110,61,28,135,853,2171
Nepal,109,76,75,52,1665,2673
Netherlands,460,176,78,514,706,3228
New Caledonia,183,94,55,476,872,2853
New Zealand,168,136,98,506,805,3137
Nicaragua,139,34,11,158,1289,2638
Niger,86,48,43,82,1548,2547
Nigeria,12,74,45,79,1172,2700
Norway,337,132,57,544,980,3485
Oman,271,393,72,328,1185,3143
Pakistan,321,39,21,86,1170,2440
Panama,185,102,28,272,1138,2733
Paraguay,132,65,28,315,828,2589
Peru,102,192,61,172,1105,2700
Philippines,18,139,49,307,1469,2570
Poland,249,77,69,440,1195,3451
