type,date,Dairy,Fruits,Vegetables,Protein,Grain,Grand Total
Austria,1961,325,177,41,340,979,3191
Austria,1962,319,156,37,362,966,3193
Austria,1963,320,166,46,359,961,3248
Austria,1964,324,164,44,370,956,3270
Austria,1965,324,133,46,363,941,3220
Austria,1966,313,153,44,358,937,3232
Austria,1967,322,146,42,366,907,3194
Austria,1968,327,148,44,370,894,3221
Austria,1969,318,147,42,376,885,3153
Austria,1970,312,147,41,383,887,3217
Austria,1971,318,140,44,393,862,3230
Austria,1972,325,127,45,404,835,3207
Austria,1973,318,154,47,411,810,3294
Austria,1974,317,134,48,411,764,3201
Austria,1975,318,144,52,417,773,3142
Austria,1976,326,148,43,442,751,3243
Austria,1977,312,140,50,444,741,3192
Austria,1978,325,141,49,455,718,3213
Austria,1979,326,157,54,469,715,3283
Austria,1980,326,151,54,469,700,3355
Austria,1981,330,123,57,495,708,3348
Austria,1982,332,161,58,480,687,3400
Austria,1983,348,151,36,482,693,3360
Austria,1984,329,151,44,487,700,3361
Austria,1985,361,141,44,475,701,3374
Austria,1986,360,159,45,485,697,3429
Austria,1987,352,151,47,493,700,3420
Austria,1988,311,169,45,521,690,3422
Austria,1989,324,180,46,514,709,3478
Austria,1990,331,167,47,516,724,3510
Austria,1991,335,166,48,521,740,3556
Austria,1992,340,175,46,534,725,3546
Austria,1993,338,192,47,523,713,3508
Austria,1994,357,166,48,565,725,3557
Austria,1995,356,135,55,472,786,3510
Austria,1996,342,124,56,494,830,3551
Austria,1997,376,146,53,487,738,3494
Austria,1998,359,116,49,485,910,3608
Austria,1999,364,143,65,476,902,3673
Austria,2000,360,158,54,490,938,3726
Austria,2001,363,161,62,475,933,3728
Austria,2002,360,149,61,472,922,3652
Austria,2003,265,173,62,464,936,3609
Austria,2004,236,175,70,479,886,3606
Austria,2005,245,170,64,478,943,3640
Austria,2006,238,178,65,466,930,3719
Austria,2007,250,189,66,482,940,3737
Austria,2008,258,200,74,462,910,3717
Austria,2009,251,168,72,473,894,3723
Austria,2010,250,170,77,474,871,3724
Austria,2011,252,194,79,470,882,3735
Austria,2012,265,190,73,452,893,3739
Austria,2013,269,186,75,473,886,3768
Bahamas,1961,134,98,96,366,895,2447
Bahamas,1962,145,98,88,349,876,2389
Bahamas,1963,132,102,88,353,853,2378
Bahamas,1964,150,101,87,371,811,2428
Bahamas,1965,137,105,85,380,799,2447
Bahamas,1966,147,112,100,433,799,2557
Bahamas,1967,160,110,97,416,787,2497
Bahamas,1968,168,118,98,457,722,2551
Bahamas,1969,164,120,105,480,705,2592
Bahamas,1970,187,124,101,501,718,2615
Bahamas,1971,179,132,102,497,671,2594
Bahamas,1972,175,125,100,487,646,2517
Bahamas,1973,175,120,97,458,635,2456
Bahamas,1974,161,119,92,449,635,2398
Bahamas,1975,148,113,93,447,636,2341
Bahamas,1976,145,119,89,446,666,2360
Bahamas,1977,132,113,81,388,625,2216
Bahamas,1978,118,115,86,390,611,2177
Bahamas,1979,126,113,87,433,625,2264
Bahamas,1980,150,135,88,522,686,2627
Bahamas,1981,135,130,65,497,672,2499
Bahamas,1982,177,148,93,517,748,2749
Bahamas,1983,175,140,93,513,754,2686
Bahamas,1984,178,140,98,529,686,2655
Bahamas,1985,181,137,97,525,735,2702
Bahamas,1986,182,152,108,559,724,2741
Bahamas,1987,191,175,94,548,723,2737
Bahamas,1988,194,159,111,563,762,2788
Bahamas,1989,193,151,106,527,746,2777
Bahamas,1990,184,136,103,533,765,2714
Bahamas,1991,188,123,100,534,697,2607
Bahamas,1992,172,124,102,484,672,2503
Bahamas,1993,166,119,102,477,627,2420
Bahamas,1994,170,105,94,493,660,2421
Bahamas,1995,161,116,90,456,730,2535
Bahamas,1996,162,110,91,449,699,2536
Bahamas,1997,165,133,94,508,738,2651
Bahamas,1998,166,150,92,520,710,2601
Bahamas,1999,170,185,79,558,712,2703
Bahamas,2000,178,200,97,569,724,2779
Bahamas,2001,177,181,95,567,739,2765
Bahamas,2002,168,168,78,588,747,2725
Bahamas,2003,163,137,79,544,760,2686
Bahamas,2004,158,186,67,538,710,2662
Bahamas,2005,158,178,82,551,628,2648
Bahamas,2006,164,159,84,558,642,2627
Bahamas,2007,163,149,85,553,639,2605
Bahamas,2008,154,171,79,560,605,2585
Bahamas,2009,179,166,72,578,596,2619
Bahamas,2010,153,188,71,570,598,2598
Bahamas,2011,143,194,65,554,596,2568
Bahamas,2012,183,220,83,590,583,2671
Bahamas,2013,186,215,84,543,655,2670
China,1961,6,6,61,44,814,1439
China,1962,6,6,54,52,897,1547
China,1963,6,6,47,74,991,1614
China,1964,6,6,42,89,1070,1685
China,1965,6,6,44,98,1140,1813
China,1966,6,6,42,103,1179,1880
China,1967,6,7,42,106,1154,1833
China,1968,5,7,42,103,1128,1776
China,1969,5,7,43,98,1095,1751
China,1970,5,7,33,96,1194,1859
China,1971,5,6,36,105,1210,1863
China,1972,5,7,32,113,1208,1848
China,1973,5,8,35,110,1227,1917
China,1974,6,8,35,110,1244,1913
China,1975,6,8,35,112,1268,1929
China,1976,6,8,35,108,1272,1896
China,1977,6,8,36,109,1280,1934
China,1978,7,8,39,115,1388,2080
China,1979,6,9,39,134,1414,2095
China,1980,7,9,37,147,1440,2161
China,1981,7,10,42,150,1468,2178
China,1982,7,9,44,158,1590,2339
China,1983,8,11,48,162,1652,2407
China,1984,8,11,52,177,1663,2440
