type,date,Dairy,Fruits,Grains,Protein,Vegetables,Grand Total
Austria,1961,325,177,979,145,41,302
Austria,1962,319,156,966,154,37,297.6666667
Austria,1963,320,166,961,152.5,46,299.6666667
Austria,1964,324,164,956,157.5,44,300.5
Austria,1965,324,133,941,156,46,292.6666667
Austria,1966,313,153,937,153.5,44,292.3333333
Austria,1967,322,146,907,157,42,288.5
Austria,1968,327,148,894,159,44,288.5
Austria,1969,318,147,885,162,42,286
Austria,1970,312,147,887,165,41,286.1666667
Austria,1971,318,140,862,170.5,44,284.1666667
Austria,1972,325,127,835,175,45,280.3333333
Austria,1973,318,154,810,179,47,281.1666667
Austria,1974,317,134,764,180,48,270.5
Austria,1975,318,144,773,182,52,275.1666667
Austria,1976,326,148,751,193.5,43,275.8333333
Austria,1977,312,140,741,194.5,50,272
Austria,1978,325,141,718,199,49,271.8333333
Austria,1979,326,157,715,206,54,277.3333333
Austria,1980,326,151,700,206.5,54,274
Austria,1981,330,123,708,220,57,276.3333333
Austria,1982,332,161,687,213.5,58,277.5
Austria,1983,348,151,693,214,36,276
Austria,1984,329,151,700,216.5,44,276.1666667
Austria,1985,361,141,701,210.5,44,278
Austria,1986,360,159,697,215,45,281.8333333
Austria,1987,352,151,700,219,47,281.3333333
Austria,1988,311,169,690,233,45,280.1666667
Austria,1989,324,180,709,231,46,286.8333333
Austria,1990,331,167,724,231,47,288.5
Austria,1991,335,166,740,235,48,293.1666667
Austria,1992,340,175,725,241.5,46,294.8333333
Austria,1993,338,192,713,235.5,47,293.5
Austria,1994,357,166,725,254.5,48,300.8333333
Austria,1995,356,135,786,209.5,55,291.8333333
Austria,1996,342,124,830,220.5,56,298.8333333
Austria,1997,376,146,738,216.5,53,291
Austria,1998,359,116,910,215.5,49,310.8333333
Austria,1999,364,143,902,212.5,65,316.5
Austria,2000,360,158,938,221.5,54,325.5
Austria,2001,363,161,933,213,62,324.1666667
Austria,2002,360,149,922,211,61,319
Austria,2003,265,173,936,207.5,62,308.5
Austria,2004,236,175,886,215,70,299.5
Austria,2005,245,170,943,213.5,64,308.1666667
Austria,2006,238,178,930,207,65,304.1666667
Austria,2007,250,189,940,214.5,66,312.3333333
Austria,2008,258,200,910,204,74,308.3333333
Austria,2009,251,168,894,210.5,72,301
Austria,2010,250,170,871,211,77,298.3333333
Austria,2011,252,194,882,208.5,79,304
Austria,2012,265,190,893,199,73,303.1666667
Austria,2013,269,186,886,208,75,305.3333333
Bahamas,1961,134,98,895,179.5,96,263.6666667
Bahamas,1962,145,98,876,172,88,258.5
Bahamas,1963,132,102,853,174,88,253.8333333
Bahamas,1964,150,101,811,183,87,252.5
Bahamas,1965,137,105,799,187.5,85,250.1666667
Bahamas,1966,147,112,799,213.5,100,264.1666667
Bahamas,1967,160,110,787,205,97,260.6666667
Bahamas,1968,168,118,722,226,98,259.6666667
Bahamas,1969,164,120,705,237,105,261.3333333
Bahamas,1970,187,124,718,248.5,101,271.1666667
